CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F96257,UV0150006,Religion (England and Wales),Muslim,"These questions ask the person to record their religion. In Scotland there is a separate question asking for the religion the person was brought up in. In Northern Ireland, people who do not regard themselves as belonging to any religion are asked to record the religion they were brought up in. A write-in is provided where
the person's religion is not provided as a tick box response. A detailed list of codes was used to code the write-in responses for England and Wales and Northern Ireland. This list contains some codes, added during processing, which are only applicable in Northern Ireland. Write-in answers are not coded in Scotland. Missing answers are not imputed so the classifications include a ‘not stated' category.

Using individual religion codes
Note 1: Users need to be aware that to get a complete number of adherents to a particular religious group they may need to collapse several codes, for example Free Presbyterian and Free
Presbyterian Church of Ulster. This is due to
several factors:
a) Adherents to a particular religious group
do not always label themselves identically;
b) Lack of space required respondents to
abbreviate the full title of their religious
group. This was done in several different
ways and often resulted in a more
general term which could not accurately
be assigned to one particular religious
group; and
c) The requirement for a common England,
Wales and Northern Ireland index
meant that while in Northern Ireland
all Free Presbyterians are probably Free
Presbyterian Church of Ulster, this may
not be true in England as there may also
be adherents of the Free Presbyterian
Church of Scotland
However, users must be aware that when
collapsing codes, the two codes may not be
identical. For example, the code Presbyterian
does not only include respondents who just
wrote Presbyterian but also Presbyterian USA
and Presbyterian in NZ. Similarly, the code
United Church is probably predominately
United Church of Canada but may include other
respondents.
Note 2: Apart from making it necessary to
collapse categories, the use of abbreviations may
have resulted in several respondents (possibly
on the same form) who belong to the same
religious group having been coded differently.
This is particularly relevant to automatic coding
where there is no human intervention. Examples
include ‘Christian Fellowship Church' coded as
029. If a respondent abbreviates this as ‘Christian
Fellowship' it would be coded as 028 and if it is
abbreviated as ‘Fellowship Church' it would be
coded as 165. As ‘Christian Fellowship' includes
many other respondents apart from those
belonging to this one denomination these codes
cannot be collapsed.",
F96257,UV0150006,Unit,People,The unit is for a particular count (e.g. people or households),
F96258,UV0150007,Unit,People,The unit is for a particular count (e.g. people or households),
F96258,UV0150007,Religion (England and Wales),Sikh,"These questions ask the person to record their religion. In Scotland there is a separate question asking for the religion the person was brought up in. In Northern Ireland, people who do not regard themselves as belonging to any religion are asked to record the religion they were brought up in. A write-in is provided where
the person's religion is not provided as a tick box response. A detailed list of codes was used to code the write-in responses for England and Wales and Northern Ireland. This list contains some codes, added during processing, which are only applicable in Northern Ireland. Write-in answers are not coded in Scotland. Missing answers are not imputed so the classifications include a ‘not stated' category.

Using individual religion codes
Note 1: Users need to be aware that to get a complete number of adherents to a particular religious group they may need to collapse several codes, for example Free Presbyterian and Free
Presbyterian Church of Ulster. This is due to
several factors:
a) Adherents to a particular religious group
do not always label themselves identically;
b) Lack of space required respondents to
abbreviate the full title of their religious
group. This was done in several different
ways and often resulted in a more
general term which could not accurately
be assigned to one particular religious
group; and
c) The requirement for a common England,
Wales and Northern Ireland index
meant that while in Northern Ireland
all Free Presbyterians are probably Free
Presbyterian Church of Ulster, this may
not be true in England as there may also
be adherents of the Free Presbyterian
Church of Scotland
However, users must be aware that when
collapsing codes, the two codes may not be
identical. For example, the code Presbyterian
does not only include respondents who just
wrote Presbyterian but also Presbyterian USA
and Presbyterian in NZ. Similarly, the code
United Church is probably predominately
United Church of Canada but may include other
respondents.
Note 2: Apart from making it necessary to
collapse categories, the use of abbreviations may
have resulted in several respondents (possibly
on the same form) who belong to the same
religious group having been coded differently.
This is particularly relevant to automatic coding
where there is no human intervention. Examples
include ‘Christian Fellowship Church' coded as
029. If a respondent abbreviates this as ‘Christian
Fellowship' it would be coded as 028 and if it is
abbreviated as ‘Fellowship Church' it would be
coded as 165. As ‘Christian Fellowship' includes
many other respondents apart from those
belonging to this one denomination these codes
cannot be collapsed.",
F96259,UV0150008,Religion (England and Wales),Other religions,"These questions ask the person to record their religion. In Scotland there is a separate question asking for the religion the person was brought up in. In Northern Ireland, people who do not regard themselves as belonging to any religion are asked to record the religion they were brought up in. A write-in is provided where
the person's religion is not provided as a tick box response. A detailed list of codes was used to code the write-in responses for England and Wales and Northern Ireland. This list contains some codes, added during processing, which are only applicable in Northern Ireland. Write-in answers are not coded in Scotland. Missing answers are not imputed so the classifications include a ‘not stated' category.

Using individual religion codes
Note 1: Users need to be aware that to get a complete number of adherents to a particular religious group they may need to collapse several codes, for example Free Presbyterian and Free
Presbyterian Church of Ulster. This is due to
several factors:
a) Adherents to a particular religious group
do not always label themselves identically;
b) Lack of space required respondents to
abbreviate the full title of their religious
group. This was done in several different
ways and often resulted in a more
general term which could not accurately
be assigned to one particular religious
group; and
c) The requirement for a common England,
Wales and Northern Ireland index
meant that while in Northern Ireland
all Free Presbyterians are probably Free
Presbyterian Church of Ulster, this may
not be true in England as there may also
be adherents of the Free Presbyterian
Church of Scotland
However, users must be aware that when
collapsing codes, the two codes may not be
identical. For example, the code Presbyterian
does not only include respondents who just
wrote Presbyterian but also Presbyterian USA
and Presbyterian in NZ. Similarly, the code
United Church is probably predominately
United Church of Canada but may include other
respondents.
Note 2: Apart from making it necessary to
collapse categories, the use of abbreviations may
have resulted in several respondents (possibly
on the same form) who belong to the same
religious group having been coded differently.
This is particularly relevant to automatic coding
where there is no human intervention. Examples
include ‘Christian Fellowship Church' coded as
029. If a respondent abbreviates this as ‘Christian
Fellowship' it would be coded as 028 and if it is
abbreviated as ‘Fellowship Church' it would be
coded as 165. As ‘Christian Fellowship' includes
many other respondents apart from those
belonging to this one denomination these codes
cannot be collapsed.",
F96259,UV0150008,Unit,People,The unit is for a particular count (e.g. people or households),
F96260,UV0150009,Unit,People,The unit is for a particular count (e.g. people or households),
F96260,UV0150009,Religion (England and Wales),No religion,"These questions ask the person to record their religion. In Scotland there is a separate question asking for the religion the person was brought up in. In Northern Ireland, people who do not regard themselves as belonging to any religion are asked to record the religion they were brought up in. A write-in is provided where
the person's religion is not provided as a tick box response. A detailed list of codes was used to code the write-in responses for England and Wales and Northern Ireland. This list contains some codes, added during processing, which are only applicable in Northern Ireland. Write-in answers are not coded in Scotland. Missing answers are not imputed so the classifications include a ‘not stated' category.

Using individual religion codes
Note 1: Users need to be aware that to get a complete number of adherents to a particular religious group they may need to collapse several codes, for example Free Presbyterian and Free
Presbyterian Church of Ulster. This is due to
several factors:
a) Adherents to a particular religious group
do not always label themselves identically;
b) Lack of space required respondents to
abbreviate the full title of their religious
group. This was done in several different
ways and often resulted in a more
general term which could not accurately
be assigned to one particular religious
group; and
c) The requirement for a common England,
Wales and Northern Ireland index
meant that while in Northern Ireland
all Free Presbyterians are probably Free
Presbyterian Church of Ulster, this may
not be true in England as there may also
be adherents of the Free Presbyterian
Church of Scotland
However, users must be aware that when
collapsing codes, the two codes may not be
identical. For example, the code Presbyterian
does not only include respondents who just
wrote Presbyterian but also Presbyterian USA
and Presbyterian in NZ. Similarly, the code
United Church is probably predominately
United Church of Canada but may include other
respondents.
Note 2: Apart from making it necessary to
collapse categories, the use of abbreviations may
have resulted in several respondents (possibly
on the same form) who belong to the same
religious group having been coded differently.
This is particularly relevant to automatic coding
where there is no human intervention. Examples
include ‘Christian Fellowship Church' coded as
029. If a respondent abbreviates this as ‘Christian
Fellowship' it would be coded as 028 and if it is
abbreviated as ‘Fellowship Church' it would be
coded as 165. As ‘Christian Fellowship' includes
many other respondents apart from those
belonging to this one denomination these codes
cannot be collapsed.",
F96261,UV0150010,Religion (England and Wales),Not stated,"These questions ask the person to record their religion. In Scotland there is a separate question asking for the religion the person was brought up in. In Northern Ireland, people who do not regard themselves as belonging to any religion are asked to record the religion they were brought up in. A write-in is provided where
the person's religion is not provided as a tick box response. A detailed list of codes was used to code the write-in responses for England and Wales and Northern Ireland. This list contains some codes, added during processing, which are only applicable in Northern Ireland. Write-in answers are not coded in Scotland. Missing answers are not imputed so the classifications include a ‘not stated' category.

Using individual religion codes
Note 1: Users need to be aware that to get a complete number of adherents to a particular religious group they may need to collapse several codes, for example Free Presbyterian and Free
Presbyterian Church of Ulster. This is due to
several factors:
a) Adherents to a particular religious group
do not always label themselves identically;
b) Lack of space required respondents to
abbreviate the full title of their religious
group. This was done in several different
ways and often resulted in a more
general term which could not accurately
be assigned to one particular religious
group; and
c) The requirement for a common England,
Wales and Northern Ireland index
meant that while in Northern Ireland
all Free Presbyterians are probably Free
Presbyterian Church of Ulster, this may
not be true in England as there may also
be adherents of the Free Presbyterian
Church of Scotland
However, users must be aware that when
collapsing codes, the two codes may not be
identical. For example, the code Presbyterian
does not only include respondents who just
wrote Presbyterian but also Presbyterian USA
and Presbyterian in NZ. Similarly, the code
United Church is probably predominately
United Church of Canada but may include other
respondents.
Note 2: Apart from making it necessary to
collapse categories, the use of abbreviations may
have resulted in several respondents (possibly
on the same form) who belong to the same
religious group having been coded differently.
This is particularly relevant to automatic coding
where there is no human intervention. Examples
include ‘Christian Fellowship Church' coded as
029. If a respondent abbreviates this as ‘Christian
Fellowship' it would be coded as 028 and if it is
abbreviated as ‘Fellowship Church' it would be
coded as 165. As ‘Christian Fellowship' includes
many other respondents apart from those
belonging to this one denomination these codes
cannot be collapsed.",
F96261,UV0150010,Unit,People,The unit is for a particular count (e.g. people or households),
